"id","location","date_test","sex","lp","age_group","age","doe_catalan","doe_spanish","doe_english","doe_others","test_language","list","version","filename"
"210134","Oxford",2022-07-18,"f","Monolingual","21 months",21.71663244353183,0,0,1,0,"English",4,"British","210134.csv"
"210133","Oxford",2022-06-23,"m","Monolingual","21 months",20.73100616016427,0,0,1,0,"English",3,"British","210133.csv"
"30490","Oxford",2022-06-20,"m","Monolingual","30 months",30.587268993839835,0,0,1,0,"English",2,"British","30490.csv"
"210132","Oxford",2022-06-11,"m","Monolingual","21 months",21.97946611909651,0,0,1,0,"English",2,"British","210132.csv"
"210131","Oxford",2022-06-10,"m","Monolingual","21 months",21.913757700205338,0,0,1,0,"English",1,"British","210131.csv"
"210130","Oxford",2022-05-24,"f","Monolingual","21 months",20.79671457905544,0,0,1,0,"English",4,"British","210130.csv"
"30489","Oxford",2022-05-18,"f","Monolingual","30 months",30.29158110882957,0,0,1,0,"English",1,"British","30489.csv"
"30488","Oxford",2022-05-12,"f","Monolingual","30 months",30.094455852156056,0,0,1,0,"English",4,"British","30488.csv"
"30487","Oxford",2022-05-10,"m","Monolingual","30 months",30.55441478439425,0,0,1,0,"English",3,"British","30487.csv"
"30485","Oxford",2022-05-07,"m","Monolingual","30 months",30.62012320328542,0,0,1,0,"English",1,"British","30485.csv"
"30486","Oxford",2022-04-28,"m","Monolingual","30 months",30.652977412731005,0,0,1,0,"English",2,"British","30486.csv"
"210128","Oxford",2022-04-27,"m","Monolingual","21 months",20.53388090349076,0,0,1,0,"English",3,"British","210128.csv"
"25028","Oxford",2022-04-12,"m","Monolingual","25 months",25.232032854209447,0,0,1,0,"English",3,"British","25028.csv"
"30484","Oxford",2022-04-12,"m","Monolingual","30 months",30.094455852156056,0,0,1,0,"English",4,"British","30484.csv"
"30483","Oxford",2022-04-07,"m","Monolingual","30 months",29.9958932238193,0,0,1,0,"English",2,"British","30483.csv"
"25027","Oxford",2022-04-04,"f","Monolingual","25 months",24.739219712525667,0,0,1,0,"English",4,"British","25027.csv"
